1557938031	s	1325	439
1557938092	s	1325	435
1557938152	s	1324	431
1557938213	s	1324	436
1557938217	0	78	90
1557938274	s	1324	438
1557938335	s	1324	439
1557938396	s	1323	434
1557938436	0	78	90
1557938457	s	1323	434
1557938518	s	1325	439
1557938579	s	1326	436
1557938640	s	1325	438
1557938701	s	1324	438
1557938762	s	1325	441
1557938823	s	1326	440
1557938884	s	1324	438
1557938945	s	1323	435
1557939006	s	1324	437
1557939067	s	1329	436
1557939128	s	1329	438
1557939189	s	1328	439
1557939250	s	1329	440
1557939311	s	1330	439
1557939372	s	1328	440
1557939433	s	1327	442
1557939433	s	1327	441
1557939494	s	1330	441
1557939555	s	1331	442
1557939616	s	1331	442
1557939677	s	1332	441
1557939738	s	1331	441
1557939753	0	78	90
1557939799	s	1331	441
1557939860	s	1333	441
1557939921	s	1333	442
1557939964	s	1331	444
1557939975	s	1333	443
1557939982	s	1333	440
1557940764	0	78	90
1557940765	0	78	90
1557940766	0	78	90
1557942759	0	78	90
1557942759	0	78	90
1557942759	0	78	90
1557943465	0	78	90
1557944381	0	78	90
1557944383	0	78	90
1557944384	0	78	90
1557946454	0	78	90
1557946455	0	78	90
1557946456	0	78	90
1557946953	0	78	90
1557947104	0	78	90
1557947986	0	78	90
1557947987	0	78	90
1557947987	0	78	90
1557948012	0	78	90
1557948810	0	78	90
1557950054	0	78	90
1557950055	0	78	90
1557950056	0	78	90
1557951331	0	78	90
1557951634	0	78	90
1557951634	0	78	90
1557951635	0	78	90
1557951991	s	1333	442
1557952757	s	1335	445
1557953300	0	78	90
1557953767	0	78	90
1557953768	0	78	90
1557953768	0	78	90
1557954718	0	78	90
1557955301	0	78	90
1557955301	0	78	90
1557957399	0	78	90
1557957400	0	78	90
1557957400	0	78	90
1557957595	0	78	90
1557958965	0	78	90
1557958966	0	78	90
1557961116	0	78	90
1557961116	0	78	90
1557961117	0	78	90
1557962609	0	78	90
1557962609	0	78	90
1557964128	0	78	90
1557964614	0	78	90
1557964851	0	78	90
1557964853	0	78	90
1557964853	0	78	90
1557966209	0	78	90
1557968563	0	78	90
1557968564	0	78	90
1557968565	0	78	90
1557969904	0	78	90
1557970740	s	1336	446
1557972277	0	78	90
1557972278	0	78	90
1557972278	0	78	90
1557973507	0	78	90
1557975707	0	78	90
1557975914	0	78	90
1557975916	0	78	90
1557975916	0	78	90
1557976694	0	78	90
1557977191	0	78	90
1557977192	0	78	90
1557977192	0	78	90
1557977194	0	78	90
1557977978	0	78	90
1557979340	0	78	90
1557979545	0	78	90
1557979546	0	78	90
1557979547	0	78	90
1557979765	s	1337	442
1557980861	s	1338	447
1557980905	0	78	90
1557980907	0	78	90
1557980908	0	78	90
1557982693	s	1336	445
